Id,SalePrice
1461,118349.45148126592
1462,172101.66664935194
1463,171743.85013373886
1464,199247.66883571434
1465,211587.68448332627
1466,162960.89547074444
1467,167535.74040655792
1468,159394.573144509
1469,193212.34325700032
1470,115450.64141600284
1471,192800.5954331111
1472,94640.4764625253
1473,75993.31890140843
1474,144641.36356132696
1475,102601.6211425242
1476,354221.6660806602
1477,270811.09884412837
1478,307160.9395567033
1479,305274.2770567751
1480,457264.76265227783
1481,324319.9550114283
1482,230241.0430820299
1483,177965.27502335177
1484,170305.34867779803
1485,198287.87866364105
1486,200106.70644475392
1487,319446.7783529643
1488,241108.77318513807
1489,208644.8340467811
1490,223891.71625612237
1491,199883.840653647
1492,87040.35904289017
1493,188965.94318562653
1494,281875.01149817294
1495,284345.24916941975
1496,218206.71634201898
1497,171143.46984121908
1498,170719.68715396387
1499,171309.19239472353
1500,160605.26125837455
1501,170756.6610662907
1502,155693.7283637317
1503,296937.91519334354
1504,247997.83933090384
1505,228936.610557388
1506,206253.58479808195
1507,237692.4164425648
1508,205369.51443877871
1509,158729.50428241634
1510,145422.10983480356
1511,137446.02746775624
1512,171631.38422452373
1513,142496.55393071353
1514,152538.38984420837
1515,192106.33758769583
1516,153402.03001086178
1517,170599.94148740254
1518,123838.19485839724
1519,215600.59880687686
1520,124245.5023688982
1521,127740.32618342721
1522,169919.02719545105
1523,94680.69238390459
1524,122316.87758777654
1525,112004.44161130206
1526,109672.51860613294
1527,94672.06002679188
1528,147635.11701740546
1529,147844.43234840356
1530,204721.60276309657
1531,108731.81622552167
1532,104128.85417847784
1533,164422.79515592603
1534,119973.18350138677
1535,148421.23927622195
1536,107372.35387898046
1537,47530.49403695989
1538,176766.7995151519
1539,196829.92022395425
1540,101090.44027877401
1541,144441.960475601
1542,134544.41027245676
1543,203202.26906947262
1544,96634.89131317822
1545,127109.36243579039
1546,140835.6449537038
1547,139122.58460896404
1548,142458.62144337367
1549,135399.29647452798
1550,128217.79082547092
1551,111082.47971475282
1552,142477.8213048918
1553,158181.07896639052
1554,111326.85613872336
1555,162804.30001529568
1556,74547.15573977058
1557,98950.96926548918
1558,98459.82161687575
1559,48887.42073778812
1560,117793.97784971705
1561,150383.35545409718
1562,126755.99751838963
1563,120480.33335467784
1564,153721.28870856974
1565,133030.5616251495
1566,238339.81942731043
1567,62743.452827543224
1568,235879.0306326542
1569,131712.29420725832
1570,146673.81629205262
1571,112329.23223510591
1572,140916.0585064509
1573,230071.6518073037
1574,126014.64201799841
1575,227255.3683376812
1576,240174.84989741966
1577,187814.49666567578
1578,135310.63749127297
1579,134076.3158862798
1580,194226.39629297188
1581,165395.3176883581
1582,123119.04634982339
1583,302866.7140916146
1584,222659.91702301084
1585,141361.46006847118
1586,50810.49444622403
1587,86334.76791768338
1588,158573.78215756733
1589,97554.8776027635
1590,140874.09599114285
1591,86928.76406367774
1592,115181.81191827042
1593,122411.06490442382
1594,119070.6648825511
1595,107328.48017628878
1596,234794.0878217235
1597,188332.59626493265
1598,228774.18251152424
1599,183588.96296553445
1600,178778.90293148742
1601,57672.57341934172
1602,118136.91565749439
1603,73159.63877986328
1604,264650.3211298421
1605,249188.7823645767
1606,189423.78603119543
1607,179612.55557802843
1608,221218.59513629164
1609,198015.0026852619
1610,145059.16484625553
1611,147541.8817032703
1612,162634.96439453025
1613,162535.09898884344
1614,133986.5026598631
1615,94081.11137946029
1616,64701.695174025575
1617,83211.86555462544
1618,111078.01367473965
1619,149992.2769218277
1620,174883.21536824873
1621,123868.21088684135
1622,140632.1786652936
1623,266150.83103576105
1624,211328.45390381297
1625,121333.4338388594
1626,169567.74580019186
1627,184983.29398633158
1628,264166.6767560836
1629,177447.09209217265
